feature,importance
V14,0.2177965008489885
V10,0.11448020498965564
V4,0.10404199210877704
V17,0.08692013315858586
V11,0.07618020797703394
V12,0.07398476418879851
V3,0.06810341812608263
V16,0.039257589746325254
V7,0.030154917593773426
V2,0.02320199353138317
V21,0.013341708933317755
V19,0.013208688687397148
V9,0.01278383765759886
Amount_Scaled,0.012462644791289317
V8,0.011330120692557365
V20,0.010343014083703266
V1,0.010172691101453189
V13,0.008782632417244035
V26,0.008395869480626282
V27,0.008117524623429531
V18,0.007588777284371684
V5,0.006736929144645732
V15,0.006665939720439914
V22,0.006561151267731452
V6,0.006289762243387188
V23,0.006066503941272417
V28,0.005777897852509582
V25,0.005752260249625675
V24,0.00498552426857261
High_Amount_Flag,0.0005147992894230556
